Product_Code,ProductName,Description,New Item Description
PENDO0288,Engage Intrigue For Her Deo 150ml_PENDO0288,Engage Intrigue For Her Deo 150ml_PENDO0288,
PENDO0289,Engage Spirit For Him Deo 150ml_PENDO0289,Engage Spirit For Him Deo 150ml_PENDO0289,
PENDO0290,Engage Spirit For Her Deo 150ml_PENDO0290,Engage Spirit For Her Deo 150ml_PENDO0290,
PENPK0042,Engage ON+ Assorted Pack Flip 18ml_PENPK0042,Engage ON+ Assorted Pack Flip 18ml_PENPK0042,
PENPK0049,Engage ON Man Assorted 18.4ml_PENPK0049,Engage ON Man Assorted 18.4ml_PENPK0049,
PENPK0050,Engage ON Woman Assorted 18.8ml_PENPK0050,Engage ON Woman Assorted 18.8ml_PENPK0050,
PENPK0083,Eng ON Man Dual Assorted 28ml_PENPK0083,Eng ON Man Dual Assorted 28ml_PENPK0083,
PENPK0084,Eng ON Woman Dual Assorted 28ml_PENPK0084,Eng ON Woman Dual Assorted 28ml_PENPK0084,
PENPK0112,Engage ON Man Assorted 17ml_PENPK0112,Engage ON Man Assorted 17ml_PENPK0112,
PENPK0113,Engage ON Woman Assorted 17ml_PENPK0113,Engage ON Woman Assorted 17ml_PENPK0113,
PENPK0122,Engage ON Man Ltd Edn SM Pkt 18ml_PENPK0122,Engage ON Man Ltd Edn SM Pkt 18ml_PENPK0122,
PENPK0123,EngageON Woman Ltd Edn RB Pkt 18ml_PENPK0123,EngageON Woman Ltd Edn RB Pkt 18ml_PENPK0123,
PENPS0015,Engage M1 Perfume Spray 120ml-NC_PENPS0015,Engage M1 Perfume Spray 120ml-NC_PENPS0015,
PENPS0016,Engage M2 Perfume Spray 120ml-NC_PENPS0016,Engage M2 Perfume Spray 120ml-NC_PENPS0016,
PENPS0017,Engage M3 Perfume Spray 120ml-NC_PENPS0017,Engage M3 Perfume Spray 120ml-NC_PENPS0017,
PENPS0018,Engage M4 Perfume Spray 120ml-NC_PENPS0018,Engage M4 Perfume Spray 120ml-NC_PENPS0018,
PENPS0019,Engage W1 Perfume Spray 120ml-NC_PENPS0019,Engage W1 Perfume Spray 120ml-NC_PENPS0019,
PENPS0020,Engage W2 Perfume Spray 120ml-NC_PENPS0020,Engage W2 Perfume Spray 120ml-NC_PENPS0020,
PENPS0021,Engage W3 Perfume Spray 120ml-NC_PENPS0021,Engage W3 Perfume Spray 120ml-NC_PENPS0021,
PENPS0022,Engage W4 Perfume Spray 120ml-NC_PENPS0022,Engage W4 Perfume Spray 120ml-NC_PENPS0022,
PENPS0053,Engage EDT Lamante For Him 75ml_PENPS0053,Engage EDT Lamante For Him 75ml_PENPS0053,
PENPS0054,Engage EDT Lamante For Her 75ml_PENPS0054,Engage EDT Lamante For Her 75ml_PENPS0054,
PFDHW0001,Fiama Hand Wash Happy 400ml_PFDHW0001,Fiama Hand Wash Happy 400ml_PFDHW0001,
PFDHW0002,Fiama Hand Wash Fresh 400ml_PFDHW0002,Fiama Hand Wash Fresh 400ml_PFDHW0002,
PFDHW0003,Fiama Hand Wash Relax 400ml_PFDHW0003,Fiama Hand Wash Relax 400ml_PFDHW0003,
PFDHW0004,Fiama Hand Wash Happy 350ml Pouch_PFDHW0004,Fiama Hand Wash Happy 350ml Pouch_PFDHW0004,
PFDHW0005,Fiama Hand Wash Fresh 350ml Pouch_PFDHW0005,Fiama Hand Wash Fresh 350ml Pouch_PFDHW0005,
