RowID,IniFileName,PrintMode,CreationDate,ModifiedDate,Active,
123,Invoice Print_WIN_NG_TN.ini,2,03/04/2017 5:00:18 PM,03/04/2017 5:00:18 PM,0,
142,Invoice Print_WIN_CG_Inter.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
143,Invoice Print_WIN_CG_Intra.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
144,Invoice Print_WIN_FMCG_Inter.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
145,Invoice Print_WIN_FMCG_Intra.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
146,Invoice Print_WIN_MED_Inter.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
147,Invoice Print_WIN_MED_Intra.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
148,Invoice Print_DOS_CG_Inter.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
149,Invoice Print_DOS_CG_Intra.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
150,Invoice Print_DOS_FMCG_Inter.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
151,Invoice Print_DOS_FMCG_Intra.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
152,Invoice Print_DOS_MED_Inter.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
153,Invoice Print_DOS_MED_Intra.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
154,InvoiceSR Print_WIN_CG_Inter.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
155,InvoiceSR Print_WIN_CG_Intra.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
156,InvoiceSR Print_WIN_FMCG_Inter.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
157,InvoiceSR Print_WIN_FMCG_Intra.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
158,InvoiceSR Print_WIN_MED_Inter.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
159,InvoiceSR Print_WIN_MED_Intra.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
160,InvoiceSR Print_DOS_CG_Inter.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
161,InvoiceSR Print_DOS_CG_Intra.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
162,InvoiceSR Print_DOS_FMCG_Inter.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
163,InvoiceSR Print_DOS_FMCG_Intra.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
164,InvoiceSR Print_DOS_MED_Inter.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
165,InvoiceSR Print_DOS_MED_Intra.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
166,Invoice Print_WIN_Exempted.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
167,Invoice Print_DOS_Exempted.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
168,InvoiceSR Print_DOS_Exempted.ini,1,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
169,InvoiceSR Print_WIN_Exempted.ini,2,23/06/2017 9:38:05 AM,23/06/2017 9:38:05 AM,0,
170,Ram1_InvoiceRUOMSR.ini,2,08/07/2017 12:49:14 PM,08/07/2017 12:49:14 PM,1,
184,DandD_DeliveryChallan.ini,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
185,DandD_DeliveryChallan_Win.ini,2,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
186,DandDInvoice_FMCG_Intra.ini,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
187,DandDInvoice_FMCG_Win_Intra.ini,2,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
188,DandDInvoice_FMCG_Inter.ini,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
189,DandDInvoice_FMCG_Win_Inter.ini,2,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
190,DandDInvoice_CG_Intra.ini,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
191,DandDInvoice_CG_Win_Intra.ini,2,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
192,DandDInvoice_CG_Inter.ini,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
193,DandDInvoice_CG_Win_Inter.ini,2,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
194,DandDInvoice_Exempt.ini,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
195,DandDInvoice_Exempt_Win.ini,2,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,1,
